model,case_id,subset,group_id,n_modalities,macro_dice
hemis,BRATS_021,t1ce+t2,sg_8a56096263e207fc,2,0.6396392059222579
hemis,BRATS_021,t1ce+t2+flair,sg_8a56096263e207fc,3,0.7173984255061282
hemis,BRATS_021,t2,sg_8a56096263e207fc,1,0.4755002308790095
hemis,BRATS_021,t2+flair,sg_8a56096263e207fc,2,0.4426275582129871
hemis,BRATS_111,flair,sg_74969a1c98337c11,1,0.5447540899502127
hemis,BRATS_111,t1,sg_74969a1c98337c11,1,0.25363630732129494
hemis,BRATS_111,t1+flair,sg_74969a1c98337c11,2,0.5311012132604577
hemis,BRATS_111,t1+t1ce,sg_74969a1c98337c11,2,0.5979561511208659
hemis,BRATS_111,t1+t1ce+flair,sg_74969a1c98337c11,3,0.7517970580838993
hemis,BRATS_111,t1+t1ce+t2,sg_74969a1c98337c11,3,0.6972793104187854
hemis,BRATS_111,t1+t1ce+t2+flair,sg_74969a1c98337c11,4,0.74127542982685
hemis,BRATS_111,t1+t2,sg_74969a1c98337c11,2,0.49215066024791754
hemis,BRATS_111,t1+t2+flair,sg_74969a1c98337c11,3,0.5565223637643952
hemis,BRATS_111,t1ce,sg_74969a1c98337c11,1,0.5248975949987308
hemis,BRATS_111,t1ce+flair,sg_74969a1c98337c11,2,0.7416126302804179
hemis,BRATS_111,t1ce+t2,sg_74969a1c98337c11,2,0.6796983282845169
hemis,BRATS_111,t1ce+t2+flair,sg_74969a1c98337c11,3,0.7253163355073665
hemis,BRATS_111,t2,sg_74969a1c98337c11,1,0.4438975623007955
hemis,BRATS_111,t2+flair,sg_74969a1c98337c11,2,0.54092415546081
hemis,BRATS_172,flair,sg_cb857fb98a0abf51,1,0.4774614138219014
hemis,BRATS_172,t1,sg_cb857fb98a0abf51,1,0.4283088177613676
hemis,BRATS_172,t1+flair,sg_cb857fb98a0abf51,2,0.5723633664331157
hemis,BRATS_172,t1+t1ce,sg_cb857fb98a0abf51,2,0.718647164586293
hemis,BRATS_172,t1+t1ce+flair,sg_cb857fb98a0abf51,3,0.8506823075967448
hemis,BRATS_172,t1+t1ce+t2,sg_cb857fb98a0abf51,3,0.8797410050246883
hemis,BRATS_172,t1+t1ce+t2+flair,sg_cb857fb98a0abf51,4,0.8907807812716427
hemis,BRATS_172,t1+t2,sg_cb857fb98a0abf51,2,0.6482710582768667
hemis,BRATS_172,t1+t2+flair,sg_cb857fb98a0abf51,3,0.6436941219809723
hemis,BRATS_172,t1ce,sg_cb857fb98a0abf51,1,0.7291626966092234
hemis,BRATS_172,t1ce+flair,sg_cb857fb98a0abf51,2,0.853790330679193
hemis,BRATS_172,t1ce+t2,sg_cb857fb98a0abf51,2,0.8850593079735782
hemis,BRATS_172,t1ce+t2+flair,sg_cb857fb98a0abf51,3,0.8811042759296718
